200754_x_at,217879_at,210616_s_at,212718_at,209140_x_at,209140_x_at,222607_s_at,216526_x_at,217913_at,1554078_s_at,212870_at,212239_at,target
8802.4,988.2,2062.3,5466.1,34599,34599,1002.6,39020.3,1356,1790.9,1254.1,1378.3,FL
7079.1,828.8,3085.5,7607,17783.5,17783.5,895.4,23226.2,1768.3,1592.8,1293.4,1106.8,FL
9168.7,930.8,2092.6,9216.4,39741.5,39741.5,1088.5,44126.4,1322.4,1661.1,2075.3,2012.5,FL
8855.4,1546.9,1154.6,8543.2,41566.4,41566.4,1499.7,41570.3,968.5,2219.9,2093.6,1941.3,FL
8807.4,1064.7,2479.5,10767.8,31492.6,31492.6,1079.6,34430.1,1208.9,1891.6,2068.5,1678.1,FL
8587.2,1261.5,2166.7,7929.3,31494.1,31494.1,1144.6,32345.8,1149.4,1680.7,1835.1,1988.3,FL
10120.4,1016.3,2229.8,8238.5,31373.4,31373.4,1325.3,33882.6,1062.8,1780,2424.7,1901.7,FL
10801.3,1217.2,1704.3,8704.9,30688.4,30688.4,1767.6,32040.2,1263.4,1960.2,2062.8,1664.3,FL
11333.8,1381.9,1836.6,10215.9,31910.8,31910.8,1208.1,33196.8,1149.5,1856.4,1356.3,1795.1,FL
11942.6,1353,1849.8,7701.4,37913.4,37913.4,1233.4,38911.5,1211.6,1732,1303.2,1881.9,FL
10566.8,1291,1855.6,8676.5,31697.9,31697.9,1340.8,34818.6,1000.1,1540.8,1587,2218.1,FL
9523.9,1123.6,1953.7,8529.9,32658.8,32658.8,1497.7,34538.7,997.2,1504.8,1782.8,2206.3,FL
9005.7,1049.8,1410.2,7325.4,34983.3,34983.3,1310.6,33669.1,1321.5,1587.8,1780.8,1887.7,FL
10461.1,1208.5,1671.5,11203.5,31439.8,31439.8,1193.3,32198.3,1262.1,1863.1,2113.4,1407.8,FL
11647.6,1176.4,2085.5,10967.4,37924,37924,1402.9,36368,1000.9,1953.9,1630.4,1487.1,FL
13758.4,1080.1,2368.9,8787.5,58100.9,58100.9,1188.8,51955.5,1533.1,1961.6,1086.6,1487.2,FL
15551.8,1404.7,1761.6,10784.8,36101.2,36101.2,1104.9,34103.3,1353.6,2369.9,1294.3,1597,FL
16583.5,1550.2,2111.8,6935.6,44330.3,44330.3,1303.8,37707.6,1008.5,2324.1,1227.1,1663.5,FL
11966.9,1532,2055.6,8148.6,24333,24333,1462.4,23219.5,1526.2,1478.7,1927.9,1499.3,FL
8147.2,1647.5,1214.5,14532.9,34116.5,34116.5,1294.2,33172.4,965.4,2233,1473.6,1870.7,FL
9856.4,1141.3,2292.5,7957.4,34768.9,34768.9,981.9,34534,1061.5,1939.2,1671.4,1191,FL
10443.8,938.3,2132.8,7887.9,28673.3,28673.3,1087.5,31589.2,1154.3,1914.8,1641.1,1502.4,FL
13786.6,826.5,2251.6,8149.3,45675.8,45675.8,1215.3,47196.6,1403.2,1691.9,1720.8,1545.2,FL
12951.8,906.2,1899.8,8571,46100.2,46100.2,1127.7,51754.8,1696.2,1914.2,1680.2,1572.6,FL
11310.7,955.4,2709.3,9410.6,39275.6,39275.6,1153.8,39843.8,1230.9,1534.9,1806.3,1619.7,FL
10624.4,1823.2,2209.9,6305,36922.4,36922.4,1031.2,36316,1491.9,2287.5,1385.7,1365.5,FL
11965,1283.6,2263.3,8786.4,36016.9,36016.9,1135.3,38630.1,1298.6,1902.6,1502.3,1265.8,FL
9891,1268.8,2416.4,9286.1,43180.2,43180.2,1218.4,48077.4,934.4,2382.8,1835.2,1744,FL
8954.1,1067.7,2176.9,10813.2,41235.3,41235.3,1137.5,41882.8,1175.5,2084.5,1708.9,2132.8,FL
9661.1,1115.3,2418.2,11338.9,35951.8,35951.8,909.9,35200.9,1066.6,1983.5,1956.5,1997.3,FL
10414.9,1088.9,2441.4,7697.9,35620.3,35620.3,1154.9,37981.6,1012,1979.9,1829.1,1276.4,FL
